id,warId,year,yearAU,relativeYear,label,locationLabel,latitude,longitude,stoaId,currentCountry,outcome,civil,naval,siege,sack,final,period,,Missing
122,,-73,680,437,Battle of Mount Vesuvius,Mount Vesuvius,40.8228645,14.4280779,433189,,L,,,,,,R,,
123,,-72,681,438,Battle of Cabira,Cabira,40.5892125,37.0201215,857177,,W,,,,,,R,,
124,,-72,681,438,First Battle of Mutina,Mutina,44.647057,10.925223,383715,,L,,,,,,R,,
125,,-72,681,438,Battle of Picenum,Picenum,43.20182587,13.54464432,413253,,L,,,,,,R,,
126,,-71,682,439,Battle of Campania,Campania,42.5,12.5,991350,,L,,,,,,R,,
127,,-71,682,439,Second Battle of Campania,Campania,42.5,12.5,991350,,W,,,,,,R,,
128,,-71,682,439,Battle of the Silarius,Silarius,40.5365504,15.0311303,442795,,W,,,,,,R,,
129,,-69,684,441,Battle of Tigranocerta,Tigranocerta,38.069736,41.346114,874774,,W,,,,,,R,,
130,,-68,685,442,Battle of Artaxata,Artaxata,39.94889533,44.53352067,874361,,W,,,,,,R,,
131,,-66,687,444,Battle of the Lycus,Lycus,37.8809338,29.1001262,638967,,W,,,,,,R,,
132,,-62,691,448,Battle of Pistoria,Pistoria,43.932766,10.9182435,403254,,C,y,,,,,R,,
133,,-58,695,452,Battle of the Arar,Arar,47.7018263,6.0421883,167652,,W,,,,,,R,,
134,,-58,695,452,Battle of Bibracte,Bibracte,46.9208565,4.0360565,177473,,W,,,,,,R,,
135,,-58,695,452,-,,,,,,W,,,,,,R,,
136,,-57,696,453,Battle of the Axona,Axona,49.0487801,2.1034696,108779,,W,,,,,,R,,
137,,-57,696,453,Battle of Octodurus,Octodurus,46.100848,7.073918,167859,,W,,,,,,R,,
138,,-57,696,453,Battle of the Sabis,Sabis,50.3035216,4.1161292,109299,,W,,,,,,R,,
139,,-53,700,457,Battle of Carrhae,Carrhae,36.8655215,39.0301785,658427,,L,,,,,,R,,
140,,-52,701,458,Battle of Alesia,Alesia,47.536622,4.503884,177434,,W,,,,,,R,,
141,,-49,704,461,Battle of the Bagradas River,Bagradas River,37.116667,10.216667,30218,,C,y,,,,,R,,
142,,-49,704,461,Battle of Ilerda,Ilerda,41.6159535,0.625938,246431,,C,y,,,,,R,,
143,,-48,705,462,Battle of Dyrrachium,Dyrrachium,41.3163425,19.447355,481818,,C,y,,,,,R,,
144,,-48,705,462,Battle of Pharsalus,Pharsalus,39.30915475,22.3563245,541042,,C,y,,,,,R,,
145,,-47,706,463,Battle of the Nile,Nile,19.21140877,30.56732963,727172,,C,y,,,,,R,,
146,,-47,706,463,Battle of Zela,Zela,40.304617,35.89152015,857382,,W,,,,,,R,,
147,,-46,707,464,Battle of Ruspina,Ruspina,35.7742245,10.8291825,324803,,C,y,,,,,R,,
148,,-46,707,464,Battle of Thapsus,Thapsus,35.622554,11.042848,324827,,C,y,,,,,R,,
149,,-45,708,465,Battle of Munda,Munda,37.419687,-5.141862,256314,,C,y,,,,,R,,
150,,-43,710,467,Battle of Forum Gallorum,Forum Gallorum,44.596736,11.053156,393425,,C,y,,,,,R,,
151,,-43,710,467,Second Battle of Mutina,Mutina,44.647057,10.925223,383715,,C,y,,,,,R,,
152,,-42,711,468,First Battle of Philippi,Philippi,41.013317,24.28360833,501482,,C,y,,,,,R,,
153,,-42,711,468,Second Battle of Philippi,Philippi,41.013317,24.28360833,501482,,C,y,,,,,R,,
154,,-41,712,469,Battle of Perugia,Perugia,43.111192,12.3899085,413248,,C,y,,,,,R,,
155,,-36,717,474,Battle of Naulochus,Naulochus,38.221699,15.374469,462384,,W,,y,,,,R,,
156,,-31,722,479,Battle of Actium,Actium,38.953115,20.768402,530771,,C,y,y,,,,R,,
157,,-25,728,7,Siege of Aracillum,Aracillum,43.176488,-3.973369,236339,,W,,,y,,,E,,
158,,-25,728,7,Battle of Vellica,Vellica,43.5,-4.5,236403,,W,,,,,,E,,
159,,-16,737,16,Clades Lolliana,Clades Lolliana,49.66019923,6.7871561,109277,,L,,,,,,E,,
160,,-11,742,21,Battle of Lupia River,Lupia River,51.7538459,8.6917099,109125,,W,,,,,,E,,
161,,9,762,41,Battle of the Teutoburg Forest,Teutoburg Forest,52.408056,8.129444,-,,L,,,,,,E,,
162,,16,769,48,Battle of the Weser River,Weser River,53.53556,8.56556,-,,W,,,,,,E,,
163,,43,796,75,Battle of the Medway,Medway,51.44,0.742,-,,W,,,,,,E,,
164,,50,803,82,Battle of Caer Caradoc,Caer Caradoc,52.0582,-2.3518,-,,W,,,,,,E,,
165,,58,811,90,Sack of Artaxata,Artaxata,39.94889533,44.53352067,874361,,W,,,,y,,E,,
166,,59,812,91,Capture of Tigranocerta,Tigranocerta,38.069736,41.346114,874774,,W,,,y,,,E,,
167,,60,813,92,Battle of Camulodunum,Camulodunum,53.654721,-1.8788195,79371,,L,,,,,,E,,
168,,61,814,93,Battle of Watling Street,Watling Street,52.65625,-1.927139,-,,W,,,,,,E,,
169,,62,815,94,Battle of Rhandeia,Rhandeia,,,876687,,L,,,,,,E,,
